Tract,Income
5350470.00,37568.0
5350471.00,33510.0
5350472.00,37504.0
5350473.01,36198.0
5350473.02,34603.0
5350473.03,32592.0
5350474.00,36838.0
5350475.00,32405.0
5350476.01,26368.0
5350476.02,33229.0
5350480.01,31407.0
5350480.02,37154.0
5350481.01,37963.0
5350481.02,33547.0
5350482.00,40102.0
5350483.01,38865.0
5350483.02,36687.0
5350484.02,39266.0
5350484.03,40800.0
5350484.04,38707.0
5350485.01,40166.0
5350485.02,34740.0
5350500.01,31893.0
5350500.02,31680.0
5350501.01,42368.0
5350501.02,41984.0
5350502.01,34377.0
5350502.02,34633.0
5350503.00,31881.0
5350504.00,42734.0
5350505.01,54158.0
5350505.02,56119.0
5350506.00,65152.0
5350507.00,46059.0
5350508.00,37433.0
5350509.01,39206.0
5350509.02,44986.0
5350510.00,42112.0
5350511.01,25472.0
5350511.02,32080.0
5350512.00,26592.0
5350513.01,38393.0
5350513.02,24779.0
5350513.03,28672.0
5350513.04,35698.0
5350514.01,50816.0
5350514.02,24998.0
5350515.01,40320.0
5350515.02,35635.0
5350516.01,38705.0
5350516.02,37163.0
5350516.03,36864.0
5350516.04,31738.0
5350516.05,34330.0
5350516.06,34688.0
5350516.08,28358.0
5350516.09,34650.0
5350516.11,43098.0
5350516.16,38037.0
5350516.17,36165.0
5350516.18,39424.0
5350516.20,37888.0
5350516.21,39552.0
5350516.22,39136.0
5350516.23,37163.0
5350516.24,40363.0
5350516.25,31232.0
5350516.26,29184.0
5350516.28,34261.0
5350516.29,27712.0
5350516.30,39625.0
5350516.31,37205.0
5350516.32,38812.0
5350516.37,30983.0
5350516.38,29824.0
5350516.39,32128.0
5350516.40,38298.0
5350516.41,29965.0
5350516.42,30176.0
5350516.43,28715.0
5350516.44,31488.0
5350516.46,31445.0
5350516.47,32032.0
5350516.48,27317.0
5350516.49,30746.0
5350517.00,41472.0
5350518.00,23388.0
5350519.00,28789.0
5350520.01,24512.0
5350520.02,26193.0
5350520.05,27904.0
5350520.07,22891.0
5350520.08,29980.0
5350520.09,31141.0
5350520.10,26787.0
5350521.01,27421.0
5350521.02,32096.0
5350521.03,26396.0
5350521.04,30784.0
5350521.05,28544.0
5350521.06,24186.0
5350522.00,30876.0
5350523.00,30298.0
5350524.01,29120.0
5350524.02,30624.0
5350525.01,24717.0
5350525.02,25440.0
5350526.01,24928.0
5350526.02,28224.0
5350527.01,28165.0
5350527.02,32299.0
5350527.03,30135.0
5350527.04,40034.0
5350527.05,35371.0
5350527.06,31068.0
5350527.07,30624.0
5350527.08,30131.0
5350527.09,32439.0
5350528.01,29664.0
5350528.02,27276.0
5350528.10,28128.0
5350528.11,29360.0
5350528.12,28267.0
5350528.13,36544.0
5350528.15,26560.0
5350528.16,26291.0
5350528.18,31112.0
5350528.19,28838.0
5350528.20,27315.0
5350528.21,23168.0
5350528.22,21773.0
5350528.24,28544.0
5350528.25,30468.0
5350528.26,26061.0
5350528.31,23345.0
5350528.32,29797.0
5350528.33,31268.0
5350528.34,35200.0
5350528.35,33792.0
5350528.36,20588.0
5350528.37,33271.0
5350528.39,41874.0
5350528.40,40288.0
5350528.41,27533.0
5350528.42,25680.0
5350528.43,30848.0
5350528.44,35858.0
5350528.45,27411.0
5350528.46,27597.0
5350528.47,29616.0
5350528.48,27789.0
5350528.49,37575.0
5350529.01,22112.0
5350529.02,21824.0
5350530.01,23431.0
5350530.02,21065.0
5350531.01,23708.0
5350531.02,24544.0
5350532.01,22976.0
5350532.02,22443.0
5350540.01,35827.0
5350540.02,42133.0
5350550.01,40032.0
5350550.02,36408.0
5350560.00,31694.0
5350561.00,32096.0
5350562.02,34287.0
5350562.03,32964.0
5350562.04,33113.0
5350562.05,32177.0
5350562.06,34155.0
5350562.07,32043.0
5350562.08,34509.0
5350562.09,33920.0
5350562.11,36506.0
5350562.12,27172.0
5350562.13,31408.0
5350562.14,33233.0
5350562.15,30374.0
5350563.01,22039.0
5350563.02,32144.0
5350564.01,32051.0
5350564.02,27684.0
5350570.01,28608.0
5350570.02,45897.0
5350571.01,27129.0
5350571.02,37043.0
5350572.01,33476.0
5350572.04,29168.0
5350572.05,26170.0
5350572.07,25984.0
5350572.08,22565.0
5350572.09,30620.0
5350572.10,26761.0
5350573.03,30519.0
5350573.05,32149.0
5350573.06,35675.0
5350573.07,31723.0
5350573.09,28992.0
5350573.10,30080.0
5350573.11,28853.0
5350574.00,36730.0
5350575.01,27840.0
5350575.02,28048.0
5350575.03,28517.0
5350575.04,32032.0
5350575.05,32064.0
5350575.07,29600.0
5350575.08,31014.0
5350576.04,41563.0
5350576.05,28800.0
5350576.06,34823.0
5350576.07,32064.0
5350576.09,43404.0
5350576.10,28748.0
5350576.16,25769.0
5350576.17,25396.0
5350576.20,23571.0
5350576.22,24492.0
5350576.24,30837.0
5350576.29,31501.0
5350576.31,40890.0
5350576.32,35366.0
5350576.33,37606.0
5350576.34,31858.0
5350576.40,24606.0
5350576.41,29549.0
5350576.42,32444.0
5350576.43,30552.0
5350576.44,30016.0
5350576.45,25280.0
5350576.46,25139.0
5350576.47,27712.0
5350576.49,28847.0
5350576.50,29299.0
5350576.52,31328.0
5350576.53,31040.0
5350576.54,27726.0
5350576.55,24512.0
5350576.56,24947.0
5350576.57,29280.0
5350576.58,26635.0
5350576.59,25243.0
5350576.60,25840.0
5350576.61,26263.0
5350576.62,23088.0
5350576.63,26656.0
5350576.64,25609.0
5350576.65,26099.0
5350576.66,24363.0
5350576.67,24588.0
5350576.68,25125.0
5350576.69,24979.0
5350576.70,32734.0
5350576.71,30274.0
5350576.72,31424.0
5350585.02,38898.0
5350585.03,39609.0
5350585.05,44744.0
5350585.07,43584.0
5350585.08,43925.0
5350585.09,39979.0
5350585.10,38539.0
5350586.01,40010.0
5350586.02,38144.0
5350587.01,44512.0
5350587.02,44858.0
5350590.00,31424.0
5350591.01,42863.0
5350591.02,38711.0
5350592.01,33850.0
5350592.02,42960.0
5350593.00,41970.0
5350600.01,53680.0
5350600.02,39492.0
5350601.00,51840.0
5350602.00,58368.0
5350603.00,30236.0
5350604.00,51392.0
5350605.00,52250.0
5350606.00,30272.0
5350607.00,40358.0
5350608.00,32782.0
5350609.00,46379.0
5350610.02,51008.0
5350610.03,43157.0
5350610.04,39145.0
5350611.00,42197.0
5350612.01,
5350612.03,39309.0
5350612.05,40704.0
5350612.08,34830.0
5350612.10,
5350612.11,46016.0
5350612.12,42144.0
5350612.13,44352.0
5350612.14,40384.0
5350612.15,51994.0
5350612.18,47616.0
5350612.19,42592.0
5350612.20,47787.0
5350612.21,46118.0
5350612.22,50128.0
5350612.23,45536.0
5350612.24,46656.0
5350612.25,43410.0
5350612.26,44777.0
5350612.27,41251.0
5350613.01,38490.0
5350613.03,31797.0
5350613.04,27238.0
5350614.01,45298.0
5350614.02,43008.0
5350615.00,43194.0
5350620.01,42581.0
5350620.05,47245.0
5350620.06,41330.0
5350620.07,47168.0
5350620.08,42043.0
5350620.09,44587.0
5350620.10,43867.0
5350620.11,44184.0
5350620.12,42998.0
5350620.13,36710.0
5350621.00,45483.0
5350622.00,40850.0
5350623.00,36109.0
5350624.00,40998.0
5350625.00,38784.0
5350626.00,43744.0
5350630.00,36494.0
5350631.02,49664.0
5350631.03,52480.0
5350631.04,54123.0
5350632.00,41552.0
5350633.00,44736.0
5350634.01,50227.0
5350634.02,39461.0
5350635.00,40079.0
5350636.00,43802.0
5350637.00,42406.0
5350638.00,39185.0
5350639.00,43115.0
5350800.01,39750.0
5350800.02,34411.0
5350801.01,38464.0
5350801.02,43936.0
5350802.01,39259.0
5350802.02,46308.0
5350803.03,37783.0
5350803.04,42880.0
5350803.05,43500.0
5350803.06,38372.0
5350804.01,43355.0
5350804.05,42866.0
5350804.06,38016.0
5350804.07,32160.0
5350804.08,43494.0
5350804.10,36980.0
5350804.11,30490.0
5350804.12,36864.0
5350804.13,28320.0
5350805.04,52966.0
5350805.06,30656.0
5350805.09,32149.0
5350805.10,35968.0
5350805.12,35115.0
5350805.14,40418.0
5350805.15,33664.0
5350805.16,32811.0
5350805.17,33152.0
5350805.18,34765.0
5350805.19,34893.0
5350805.20,35356.0
5350805.21,34432.0
5350806.00,40928.0
5350807.00,39509.0
5350810.01,29422.0
5350810.02,35600.0
5350810.03,41472.0
5350810.04,37256.0
5350810.05,45091.0
5350811.00,32032.0
5350812.00,35046.0
5350820.03,36544.0
5350820.04,32653.0
5350820.05,39450.0
5350820.06,35511.0
5350820.07,38894.0
5350830.00,38726.0
5350831.01,41344.0
5350831.02,39534.0
5350832.00,38536.0
